,Cluster,Motif,Influe
605,Endothelial,Motif_99,0.6693426
606,Epithelial,Motif_99,0.03781405
607,Erythroid,Motif_99,-0.36679628
608,Germ,Motif_99,0.521438
609,Hepatocyte,Motif_99,-0.79167956
610,Immune,Motif_99,-0.41442862
611,Muscle,Motif_99,0.19584163
612,Neuron,Motif_99,1.0081849
613,Proliferating,Motif_99,-0.8535138
614,Secretory,Motif_99,-0.24228372
615,Stromal,Motif_99,0.6066525
616,Endothelial,Motif_101,0.5178661
617,Epithelial,Motif_101,-0.030590318
618,Erythroid,Motif_101,-0.252562
619,Germ,Motif_101,0.6279466
620,Hepatocyte,Motif_101,-0.8150938
621,Immune,Motif_101,-0.23871545
622,Muscle,Motif_101,-0.0484864
623,Neuron,Motif_101,0.76281357
624,Proliferating,Motif_101,-0.77395177
625,Secretory,Motif_101,-0.30214673
626,Stromal,Motif_101,0.46047166
627,Endothelial,Motif_102,0.8630017
628,Epithelial,Motif_102,0.085775055
629,Erythroid,Motif_102,-0.5769112
630,Germ,Motif_102,0.3408716
631,Hepatocyte,Motif_102,-0.6576154
632,Immune,Motif_102,-0.39644974
633,Muscle,Motif_102,0.42124397
634,Neuron,Motif_102,0.9865793
635,Proliferating,Motif_102,-0.88769734
636,Secretory,Motif_102,-0.11067037
637,Stromal,Motif_102,0.66978216
638,Endothelial,Motif_103,-1.2125343
639,Epithelial,Motif_103,-0.050242856
640,Erythroid,Motif_103,1.0260243
641,Germ,Motif_103,0.5533959
642,Hepatocyte,Motif_103,-0.39733535
643,Immune,Motif_103,-0.43687078
644,Muscle,Motif_103,-0.55531204
645,Neuron,Motif_103,-0.13200103
646,Proliferating,Motif_103,0.90040123
647,Secretory,Motif_103,-0.5034908
648,Stromal,Motif_103,-0.24825746
649,Endothelial,Motif_105,-1.1003727
650,Epithelial,Motif_105,-0.010211799
651,Erythroid,Motif_105,0.8560006
652,Germ,Motif_105,0.10918722
653,Hepatocyte,Motif_105,0.09354061
654,Immune,Motif_105,-0.16291386
655,Muscle,Motif_105,-0.31476176
656,Neuron,Motif_105,-0.511018
657,Proliferating,Motif_105,0.985388
658,Secretory,Motif_105,-0.20877652
659,Stromal,Motif_105,-0.42266953
660,Endothelial,Motif_106,-1.1317384
661,Epithelial,Motif_106,-0.11574483
662,Erythroid,Motif_106,0.9507925
663,Germ,Motif_106,0.31668466
664,Hepatocyte,Motif_106,-0.11977673
665,Immune,Motif_106,-0.0394336
666,Muscle,Motif_106,-0.58256906
667,Neuron,Motif_106,-0.5612268
668,Proliferating,Motif_106,0.85030067
669,Secretory,Motif_106,-0.34723878
670,Stromal,Motif_106,-0.41923127
671,Endothelial,Motif_110,-0.74336123
672,Epithelial,Motif_110,0.0322319
673,Erythroid,Motif_110,0.4956986
674,Germ,Motif_110,-0.24034469
675,Hepatocyte,Motif_110,0.62562215
676,Immune,Motif_110,0.20404373
677,Muscle,Motif_110,-0.17204024
678,Neuron,Motif_110,-0.799436
679,Proliferating,Motif_110,0.812037
680,Secretory,Motif_110,0.1346913
681,Stromal,Motif_110,-0.47896072
682,Endothelial,Motif_112,-0.81043524
683,Epithelial,Motif_112,-0.022878997
684,Erythroid,Motif_112,0.57397825
685,Germ,Motif_112,-0.23194408
686,Hepatocyte,Motif_112,0.49664047
687,Immune,Motif_112,0.26447397
688,Muscle,Motif_112,-0.3254203
689,Neuron,Motif_112,-0.8459616
690,Proliferating,Motif_112,0.77736866
691,Secretory,Motif_112,0.046744823
692,Stromal,Motif_112,-0.49364847
693,Endothelial,Motif_114,0.83037716
694,Epithelial,Motif_114,0.00990124
695,Erythroid,Motif_114,-0.4900849
696,Germ,Motif_114,0.4117072
