,Cluster,Motif,Influe
612,Neuron,Motif_65,-0.07238585
613,Proliferating,Motif_65,-0.07242444
614,Secretory,Motif_65,-0.06660303
615,Stromal,Motif_65,-0.07242444
616,Endothelial,Motif_69,-0.21980762
617,Epithelial,Motif_69,0.50047845
618,Erythroid,Motif_69,0.73642945
619,Germ,Motif_69,1.5603691
620,Hepatocyte,Motif_69,0.1700496
621,Immune,Motif_69,0.2812786
622,Muscle,Motif_69,-0.2670794
623,Neuron,Motif_69,-1.2502141
624,Proliferating,Motif_69,-1.0333661
625,Secretory,Motif_69,0.5521783
626,Stromal,Motif_69,-0.6073614
627,Endothelial,Motif_71,-0.27928495
628,Epithelial,Motif_71,-0.46966067
629,Erythroid,Motif_71,-0.1560638
630,Germ,Motif_71,-0.051169734
631,Hepatocyte,Motif_71,-0.5428578
632,Immune,Motif_71,-0.53765196
633,Muscle,Motif_71,-0.07105235
634,Neuron,Motif_71,1.549919
635,Proliferating,Motif_71,0.87370974
636,Secretory,Motif_71,-0.53946435
637,Stromal,Motif_71,-0.07268712
638,Endothelial,Motif_72,0.036162402
639,Epithelial,Motif_72,-0.683186
640,Erythroid,Motif_72,-0.049856726
641,Germ,Motif_72,0.18816282
642,Hepatocyte,Motif_72,-0.051297728
643,Immune,Motif_72,-0.4666913
644,Muscle,Motif_72,0.1534311
645,Neuron,Motif_72,1.2385337
646,Proliferating,Motif_72,1.4457165
647,Secretory,Motif_72,-0.7798306
648,Stromal,Motif_72,0.0010371467
649,Endothelial,Motif_73,-0.0062913774
650,Epithelial,Motif_73,-0.0062913774
651,Erythroid,Motif_73,-0.0062913774
652,Germ,Motif_73,-0.0062913774
653,Hepatocyte,Motif_73,-0.0062913774
654,Immune,Motif_73,-0.0062913774
655,Muscle,Motif_73,-0.0062913774
656,Neuron,Motif_73,-0.0056736767
657,Proliferating,Motif_73,-0.0062913774
658,Secretory,Motif_73,-0.0062913774
659,Stromal,Motif_73,-0.0062913774
660,Endothelial,Motif_75,-0.17837963
661,Epithelial,Motif_75,-0.17756373
662,Erythroid,Motif_75,-0.17837963
663,Germ,Motif_75,-0.17837963
664,Hepatocyte,Motif_75,-0.17837963
665,Immune,Motif_75,-0.17837963
666,Muscle,Motif_75,-0.17837963
667,Neuron,Motif_75,0.4169599
668,Proliferating,Motif_75,-0.17837963
669,Secretory,Motif_75,-0.17837963
670,Stromal,Motif_75,-0.17837963
671,Endothelial,Motif_76,-0.48852193
672,Epithelial,Motif_76,-0.108571656
673,Erythroid,Motif_76,0.0045898897
674,Germ,Motif_76,-0.29158956
675,Hepatocyte,Motif_76,0.6354782
676,Immune,Motif_76,0.1675304
677,Muscle,Motif_76,0.016078724
678,Neuron,Motif_76,-0.056802128
679,Proliferating,Motif_76,0.49613532
680,Secretory,Motif_76,-0.79248625
681,Stromal,Motif_76,-0.4503817
682,Endothelial,Motif_77,-0.99139863
683,Epithelial,Motif_77,-0.17676713
684,Erythroid,Motif_77,-0.5472394
685,Germ,Motif_77,-1.1969193
686,Hepatocyte,Motif_77,1.1480776
687,Immune,Motif_77,0.6314923
688,Muscle,Motif_77,-0.40719065
689,Neuron,Motif_77,-0.304232
690,Proliferating,Motif_77,-0.13209774
691,Secretory,Motif_77,-1.0220385
