,type,eta
229,eta_comb,0.8334117928768378
230,eta_comb,0.8504133807874565
231,eta_comb,0.8482265157361368
232,eta_comb,0.8984344868570593
233,eta_comb,0.8310768134564472
234,eta_comb,0.899491769104878
235,eta_comb,0.8916333403180393
236,eta_comb,0.8145759100226309
237,eta_comb,0.9194098749145165
238,eta_comb,0.8954820189673575
239,eta_comb,0.8847298127139386
240,eta_comb,0.8539464917412648
241,eta_comb,0.8934588355837653
242,eta_comb,0.78356647414351
243,eta_comb,0.850354729671022
244,eta_comb,0.8557541389096869
245,eta_comb,0.8630111245860165
246,eta_comb,0.8838247388691494
247,eta_comb,0.8246349752000008
248,eta_comb,0.9116589000854378
249,eta_comb,0.8658284705097039
250,eta_comb,0.7857394893815585
251,eta_comb,0.803536626635531
252,eta_comb,0.8083013176314997
253,eta_comb,0.8888906641972191
254,eta_comb,0.906401158905232
255,eta_comb,0.8361037407324807
256,eta_comb,0.7805341752559878
257,eta_comb,0.8836828739637586
258,eta_comb,0.8439077530504471
259,eta_comb,0.8487236380449129
260,eta_comb,0.8448908935013828
261,eta_comb,0.8803788063926513
262,eta_comb,0.8161011253029584
263,eta_comb,0.8837382998404336
264,eta_comb,0.8506630140599375
265,eta_comb,0.8345888557247781
266,eta_comb,0.8131482679294574
267,eta_comb,0.8200649639677972
268,eta_comb,0.8265712235438147
269,eta_comb,0.8290119206628033
270,eta_comb,0.823356756838489
271,eta_comb,0.7893182331563023
272,eta_comb,0.7820661813172838
273,eta_comb,0.8092436825202156
274,eta_comb,0.8477810969826852
275,eta_comb,0.80672090213915
276,eta_comb,0.846069996611313
277,eta_comb,0.8938088732821856
278,eta_comb,0.7900475050639515
279,eta_comb,0.8333108946820492
280,eta_comb,0.834077891469842
281,eta_comb,0.8739177760446303
282,eta_comb,0.8301245786562745
283,eta_comb,0.8821876814051354
284,eta_comb,0.8074790772381303
285,eta_comb,0.8344464628130475
286,eta_comb,0.8487598101812444
287,eta_comb,0.8489790528824792
288,eta_comb,0.8313650594029112
289,eta_comb,0.8335100572949145
290,eta_comb,0.8025332238563854
291,eta_comb,0.8453986388639938
292,eta_comb,0.8248373657975256
293,eta_comb,0.859003817780346
