,Celltype,Motif,Influe
438,Drosophila23,Motif_31,0.0
439,Drosophila25,Motif_31,0.0
440,Drosophila29,Motif_31,1.0
441,Drosophila3,Motif_31,1.0
442,Drosophila31,Motif_31,0.0
443,Drosophila35,Motif_31,0.0
444,Drosophila37,Motif_31,0.0
445,Drosophila38,Motif_31,0.0
446,Drosophila39,Motif_31,0.0
447,Drosophila4,Motif_31,0.0
448,Drosophila41,Motif_31,1.0
449,Drosophila44,Motif_31,0.0
450,Drosophila46,Motif_31,0.0
451,Drosophila5,Motif_31,0.0
452,Drosophila52,Motif_31,1.0
453,Drosophila54,Motif_31,0.0
454,Drosophila55,Motif_31,1.0
455,Drosophila56,Motif_31,0.0
456,Drosophila57,Motif_31,0.0
457,Drosophila58,Motif_31,0.0
458,Drosophila6,Motif_31,0.0
459,Drosophila7,Motif_31,0.0
460,Drosophila8,Motif_31,0.0
461,Drosophila9,Motif_31,1.0
462,Drosophila1,Motif_32,0.0
463,Drosophila10,Motif_32,0.0
464,Drosophila13,Motif_32,0.0
465,Drosophila14,Motif_32,0.0
466,Drosophila15,Motif_32,0.0
467,Drosophila16,Motif_32,0.0
468,Drosophila18,Motif_32,0.0
469,Drosophila19,Motif_32,0.0
470,Drosophila20,Motif_32,0.0
471,Drosophila23,Motif_32,0.0
472,Drosophila25,Motif_32,0.0
473,Drosophila29,Motif_32,0.0
474,Drosophila3,Motif_32,0.0
475,Drosophila31,Motif_32,0.0
476,Drosophila35,Motif_32,0.0
477,Drosophila37,Motif_32,0.0
478,Drosophila38,Motif_32,0.0
479,Drosophila39,Motif_32,1.0
480,Drosophila4,Motif_32,0.0
481,Drosophila41,Motif_32,0.0
482,Drosophila44,Motif_32,0.0
483,Drosophila46,Motif_32,0.0
484,Drosophila5,Motif_32,0.0
485,Drosophila52,Motif_32,0.0
486,Drosophila54,Motif_32,1.0
487,Drosophila55,Motif_32,1.0
488,Drosophila56,Motif_32,0.0
489,Drosophila57,Motif_32,1.0
490,Drosophila58,Motif_32,0.0
491,Drosophila6,Motif_32,0.0
492,Drosophila7,Motif_32,0.0
493,Drosophila8,Motif_32,0.0
494,Drosophila9,Motif_32,0.0
495,Drosophila1,Motif_33,1.0
496,Drosophila10,Motif_33,0.0
497,Drosophila13,Motif_33,1.0
498,Drosophila14,Motif_33,0.0
499,Drosophila15,Motif_33,1.0
500,Drosophila16,Motif_33,1.0
501,Drosophila18,Motif_33,1.0
502,Drosophila19,Motif_33,0.0
503,Drosophila20,Motif_33,0.0
504,Drosophila23,Motif_33,0.0
505,Drosophila25,Motif_33,0.0
506,Drosophila29,Motif_33,1.0
507,Drosophila3,Motif_33,1.0
508,Drosophila31,Motif_33,0.0
509,Drosophila35,Motif_33,1.0
510,Drosophila37,Motif_33,0.0
511,Drosophila38,Motif_33,0.0
512,Drosophila39,Motif_33,0.0
513,Drosophila4,Motif_33,0.0
514,Drosophila41,Motif_33,0.0
515,Drosophila44,Motif_33,1.0
516,Drosophila46,Motif_33,0.0
517,Drosophila5,Motif_33,0.0
518,Drosophila52,Motif_33,0.0
519,Drosophila54,Motif_33,0.0
520,Drosophila55,Motif_33,1.0
521,Drosophila56,Motif_33,0.0
522,Drosophila57,Motif_33,0.0
523,Drosophila58,Motif_33,0.0
524,Drosophila6,Motif_33,0.0
525,Drosophila7,Motif_33,1.0
526,Drosophila8,Motif_33,0.0
527,Drosophila9,Motif_33,0.0
528,Drosophila1,Motif_34,1.0
529,Drosophila10,Motif_34,0.0
530,Drosophila13,Motif_34,0.0
531,Drosophila14,Motif_34,0.0
532,Drosophila15,Motif_34,0.0
533,Drosophila16,Motif_34,0.0
534,Drosophila18,Motif_34,0.0
535,Drosophila19,Motif_34,1.0
536,Drosophila20,Motif_34,0.0
537,Drosophila23,Motif_34,1.0
538,Drosophila25,Motif_34,0.0
539,Drosophila29,Motif_34,0.0
540,Drosophila3,Motif_34,0.0
541,Drosophila31,Motif_34,0.0
542,Drosophila35,Motif_34,0.0
543,Drosophila37,Motif_34,0.0
544,Drosophila38,Motif_34,0.0
545,Drosophila39,Motif_34,0.0
546,Drosophila4,Motif_34,0.0
547,Drosophila41,Motif_34,0.0
548,Drosophila44,Motif_34,0.0
549,Drosophila46,Motif_34,0.0
550,Drosophila5,Motif_34,0.0
551,Drosophila52,Motif_34,0.0
552,Drosophila54,Motif_34,1.0
553,Drosophila55,Motif_34,0.0
554,Drosophila56,Motif_34,1.0
555,Drosophila57,Motif_34,0.0
556,Drosophila58,Motif_34,0.0
557,Drosophila6,Motif_34,0.0
558,Drosophila7,Motif_34,0.0
559,Drosophila8,Motif_34,0.0
560,Drosophila9,Motif_34,0.0
561,Drosophila1,Motif_35,0.0
562,Drosophila10,Motif_35,1.0
563,Drosophila13,Motif_35,0.0
564,Drosophila14,Motif_35,1.0
565,Drosophila15,Motif_35,0.0
566,Drosophila16,Motif_35,0.0
567,Drosophila18,Motif_35,0.0
568,Drosophila19,Motif_35,0.0
569,Drosophila20,Motif_35,0.0
570,Drosophila23,Motif_35,0.0
571,Drosophila25,Motif_35,1.0
572,Drosophila29,Motif_35,0.0
573,Drosophila3,Motif_35,0.0
574,Drosophila31,Motif_35,1.0
575,Drosophila35,Motif_35,0.0
576,Drosophila37,Motif_35,0.0
577,Drosophila38,Motif_35,0.0
578,Drosophila39,Motif_35,0.0
579,Drosophila4,Motif_35,0.0
580,Drosophila41,Motif_35,1.0
581,Drosophila44,Motif_35,0.0
582,Drosophila46,Motif_35,1.0
583,Drosophila5,Motif_35,0.0
584,Drosophila52,Motif_35,1.0
585,Drosophila54,Motif_35,0.0
586,Drosophila55,Motif_35,0.0
587,Drosophila56,Motif_35,0.0
588,Drosophila57,Motif_35,1.0
589,Drosophila58,Motif_35,0.0
590,Drosophila6,Motif_35,0.0
591,Drosophila7,Motif_35,0.0
592,Drosophila8,Motif_35,1.0
593,Drosophila9,Motif_35,1.0
594,Drosophila1,Motif_36,0.0
595,Drosophila10,Motif_36,0.0
596,Drosophila13,Motif_36,1.0
597,Drosophila14,Motif_36,0.0
598,Drosophila15,Motif_36,1.0
599,Drosophila16,Motif_36,1.0
600,Drosophila18,Motif_36,1.0
601,Drosophila19,Motif_36,0.0
