,Cluster,Motif,Influe
378,Gut,Motif_72,-1.0919179
379,Hemocytes,Motif_72,-0.74863535
380,MAG,Motif_72,0.19866113
381,MT,Motif_72,-0.8524282
382,Muscle,Motif_72,-0.43619508
383,Neuron,Motif_72,-0.22030713
384,Proliferating,Motif_72,-0.3571579
385,Epithelial,Motif_73,0.43747264
386,FatBody,Motif_73,-1.2346957
387,Follicle,Motif_73,0.29810685
388,Germ,Motif_73,-0.4753094
389,Gut,Motif_73,-0.44078743
390,Hemocytes,Motif_73,0.007358283
391,MAG,Motif_73,0.3021893
392,MT,Motif_73,-0.69122785
393,Muscle,Motif_73,-1.2283278
394,Neuron,Motif_73,-0.47252372
395,Proliferating,Motif_73,-0.5702966
396,Epithelial,Motif_74,-1.4416795
397,FatBody,Motif_74,0.5038941
398,Follicle,Motif_74,0.4907298
399,Germ,Motif_74,1.2680094
400,Gut,Motif_74,-0.48031688
401,Hemocytes,Motif_74,-0.48315635
402,MAG,Motif_74,-1.0270048
403,MT,Motif_74,0.03347294
404,Muscle,Motif_74,1.0713397
405,Neuron,Motif_74,-0.66608405
406,Proliferating,Motif_74,0.4098077
407,Epithelial,Motif_75,-1.4176277
408,FatBody,Motif_75,0.8776429
409,Follicle,Motif_75,0.33808082
410,Germ,Motif_75,1.5217118
411,Gut,Motif_75,-0.1706311
412,Hemocytes,Motif_75,-0.17890488
413,MAG,Motif_75,-0.2743
414,MT,Motif_75,0.2894557
415,Muscle,Motif_75,1.0990355
416,Neuron,Motif_75,-0.64901096
417,Proliferating,Motif_75,0.6645931
418,Epithelial,Motif_81,0.43442136
419,FatBody,Motif_81,-1.0122426
420,Follicle,Motif_81,0.34238532
421,Germ,Motif_81,-0.34500024
422,Gut,Motif_81,-0.14605115
423,Hemocytes,Motif_81,-0.017333165
424,MAG,Motif_81,0.40742195
425,MT,Motif_81,-0.7407572
426,Muscle,Motif_81,-1.4054521
427,Neuron,Motif_81,-0.7862222
428,Proliferating,Motif_81,-0.61940545
429,Epithelial,Motif_85,-0.91597104
430,FatBody,Motif_85,-0.8938455
431,Follicle,Motif_85,0.065679826
432,Germ,Motif_85,-0.43030855
433,Gut,Motif_85,-1.0863173
434,Hemocytes,Motif_85,-1.0630673
435,MAG,Motif_85,-0.047602624
436,MT,Motif_85,-0.65080255
437,Muscle,Motif_85,0.8254799
438,Neuron,Motif_85,1.3380625
439,Proliferating,Motif_85,-0.24615748
440,Epithelial,Motif_86,-0.85517263
441,FatBody,Motif_86,-0.48596364
442,Follicle,Motif_86,0.6243925
443,Germ,Motif_86,0.30614722
444,Gut,Motif_86,-0.75511795
445,Hemocytes,Motif_86,-0.5398993
446,MAG,Motif_86,-0.50530654
447,MT,Motif_86,-0.49307513
448,Muscle,Motif_86,-0.23562683
449,Neuron,Motif_86,-0.8560362
450,Proliferating,Motif_86,-0.3177551
451,Epithelial,Motif_87,0.35494432
452,FatBody,Motif_87,-0.5680324
453,Follicle,Motif_87,0.13955593
454,Germ,Motif_87,0.35377386
455,Gut,Motif_87,0.45418832
456,Hemocytes,Motif_87,0.75160915
457,MAG,Motif_87,1.09109
458,MT,Motif_87,-0.0695837
459,Muscle,Motif_87,-1.1059133
460,Neuron,Motif_87,-1.2609515
461,Proliferating,Motif_87,0.22376958
462,Epithelial,Motif_88,1.2688125
463,FatBody,Motif_88,-0.05023159
464,Follicle,Motif_88,-0.34458914
465,Germ,Motif_88,-0.36224508
466,Gut,Motif_88,0.2763364
467,Hemocytes,Motif_88,-0.025742527
468,MAG,Motif_88,0.71145076
469,MT,Motif_88,0.14142688
470,Muscle,Motif_88,-0.346272
471,Neuron,Motif_88,-0.3211274
472,Proliferating,Motif_88,-0.36224508
473,Epithelial,Motif_92,-0.9119523
474,FatBody,Motif_92,0.43289655
475,Follicle,Motif_92,0.2117185
476,Germ,Motif_92,1.3130457
477,Gut,Motif_92,0.21007569
478,Hemocytes,Motif_92,0.36843488
479,MAG,Motif_92,-1.0739982
480,MT,Motif_92,0.36008865
481,Muscle,Motif_92,0.8258184
482,Neuron,Motif_92,-0.80111444
483,Proliferating,Motif_92,0.78543955
484,Epithelial,Motif_94,-0.48964357
485,FatBody,Motif_94,0.5578864
486,Follicle,Motif_94,0.02885779
487,Germ,Motif_94,1.6478426
488,Gut,Motif_94,-0.22859375
489,Hemocytes,Motif_94,-0.4984965
490,MAG,Motif_94,-0.50662977
491,MT,Motif_94,0.4050765
492,Muscle,Motif_94,1.0402566
493,Neuron,Motif_94,-0.49885193
494,Proliferating,Motif_94,-0.21114524
495,Epithelial,Motif_95,0.22485138
496,FatBody,Motif_95,-0.78162366
497,Follicle,Motif_95,0.34801278
498,Germ,Motif_95,-0.14255264
499,Gut,Motif_95,0.07804113
500,Hemocytes,Motif_95,0.17941228
501,MAG,Motif_95,0.3983965
502,MT,Motif_95,-0.40269306
