,Cluster,Motif,Influe
502,Neuron,Motif_81,-0.091553405
503,Notochord,Motif_81,-0.1309413
504,Endoderm,Motif_82,0.49181935
505,Epithelial,Motif_82,0.20584565
506,Germ,Motif_82,1.2001745
507,Mesenchyme,Motif_82,-0.52200925
508,Muscle,Motif_82,-0.10882888
509,Neuron,Motif_82,0.47074276
510,Notochord,Motif_82,0.2100173
511,Endoderm,Motif_83,-0.7139027
512,Epithelial,Motif_83,-0.4352462
513,Germ,Motif_83,-0.27031234
514,Mesenchyme,Motif_83,0.69646174
515,Muscle,Motif_83,-0.4403168
516,Neuron,Motif_83,-0.5141803
517,Notochord,Motif_83,-0.7139027
518,Endoderm,Motif_84,0.37944365
519,Epithelial,Motif_84,0.12817127
520,Germ,Motif_84,1.1301174
521,Mesenchyme,Motif_84,-0.443841
522,Muscle,Motif_84,-0.24237207
523,Neuron,Motif_84,0.29296318
524,Notochord,Motif_84,0.16030341
525,Endoderm,Motif_85,-0.883155
526,Epithelial,Motif_85,-0.72368664
527,Germ,Motif_85,-0.552888
528,Mesenchyme,Motif_85,0.85376734
529,Muscle,Motif_85,-0.51239395
530,Neuron,Motif_85,-0.44664916
531,Notochord,Motif_85,-0.23508933
532,Endoderm,Motif_87,-0.7461077
533,Epithelial,Motif_87,0.4375194
534,Germ,Motif_87,-0.39974803
535,Mesenchyme,Motif_87,0.30397186
536,Muscle,Motif_87,-0.43381834
537,Neuron,Motif_87,-0.1687583
538,Notochord,Motif_87,0.3157992
539,Endoderm,Motif_88,-0.22286129
540,Epithelial,Motif_88,-0.22286129
541,Germ,Motif_88,-0.22286129
542,Mesenchyme,Motif_88,0.044019207
543,Muscle,Motif_88,-0.22286129
544,Neuron,Motif_88,-0.22286129
545,Notochord,Motif_88,-0.22286129
546,Endoderm,Motif_89,-0.072550006
547,Epithelial,Motif_89,-0.027417112
548,Germ,Motif_89,-0.072550006
549,Mesenchyme,Motif_89,-0.072550006
550,Muscle,Motif_89,-0.072550006
551,Neuron,Motif_89,-0.027325062
552,Notochord,Motif_89,-0.072550006
553,Endoderm,Motif_90,-1.0466115
554,Epithelial,Motif_90,-0.2729366
555,Germ,Motif_90,-0.781014
556,Mesenchyme,Motif_90,0.81750757
557,Muscle,Motif_90,-0.43637946
558,Neuron,Motif_90,-0.45427573
559,Notochord,Motif_90,-0.29840145
560,Endoderm,Motif_91,-0.4452705
561,Epithelial,Motif_91,-0.43189216
562,Germ,Motif_91,-0.03339371
563,Mesenchyme,Motif_91,0.3737882
564,Muscle,Motif_91,-0.20457429
565,Neuron,Motif_91,-0.43087494
566,Notochord,Motif_91,-0.4452705
567,Endoderm,Motif_92,0.16113569
568,Epithelial,Motif_92,0.1793374
569,Germ,Motif_92,1.0023749
570,Mesenchyme,Motif_92,-0.37104255
571,Muscle,Motif_92,-0.35708925
572,Neuron,Motif_92,0.24706744
573,Notochord,Motif_92,0.22465093
574,Endoderm,Motif_93,-0.8443254
575,Epithelial,Motif_93,-0.7028052
576,Germ,Motif_93,-0.54781526
577,Mesenchyme,Motif_93,0.9127829
578,Muscle,Motif_93,-0.635463
579,Neuron,Motif_93,-0.7476705
580,Notochord,Motif_93,-0.8443254
581,Endoderm,Motif_95,0.6549095
582,Epithelial,Motif_95,0.91198134
583,Germ,Motif_95,-0.028075477
584,Mesenchyme,Motif_95,-0.8769395
585,Muscle,Motif_95,0.75358635
586,Neuron,Motif_95,0.70245636
587,Notochord,Motif_95,1.017486
588,Endoderm,Motif_96,-0.82727814
589,Epithelial,Motif_96,-0.8099534
590,Germ,Motif_96,-0.5591583
591,Mesenchyme,Motif_96,0.9334737
592,Muscle,Motif_96,-0.6588367
593,Neuron,Motif_96,-0.7350851
594,Notochord,Motif_96,-0.817354
595,Endoderm,Motif_97,-0.08388887
596,Epithelial,Motif_97,0.13189614
597,Germ,Motif_97,0.06624667
598,Mesenchyme,Motif_97,-0.21148786
599,Muscle,Motif_97,-0.21393108
600,Neuron,Motif_97,0.00825803
601,Notochord,Motif_97,0.028924366
602,Endoderm,Motif_98,-0.8829415
603,Epithelial,Motif_98,-0.42199472
604,Germ,Motif_98,-0.51241785
605,Mesenchyme,Motif_98,0.8025613
606,Muscle,Motif_98,-0.60800886
607,Neuron,Motif_98,-0.51844853
608,Notochord,Motif_98,-0.7959009
609,Endoderm,Motif_99,0.8631564
610,Epithelial,Motif_99,0.49680355
611,Germ,Motif_99,0.08300626
612,Mesenchyme,Motif_99,-0.795797
613,Muscle,Motif_99,0.6932083
614,Neuron,Motif_99,0.45369887
615,Notochord,Motif_99,0.5521214
616,Endoderm,Motif_100,0.41171494
617,Epithelial,Motif_100,0.09461304
618,Germ,Motif_100,-0.4270786
619,Mesenchyme,Motif_100,-0.3445109
620,Muscle,Motif_100,0.584166
621,Neuron,Motif_100,0.18191133
622,Notochord,Motif_100,0.5940829
623,Endoderm,Motif_101,0.63874716
624,Epithelial,Motif_101,-0.66050637
625,Germ,Motif_101,-0.025430808
626,Mesenchyme,Motif_101,-0.1871462
627,Muscle,Motif_101,0.4105322
628,Neuron,Motif_101,-0.0015986222
629,Notochord,Motif_101,0.3094453
630,Endoderm,Motif_102,0.35562876
631,Epithelial,Motif_102,0.486677
632,Germ,Motif_102,-0.5450352
633,Mesenchyme,Motif_102,-0.5089076
634,Muscle,Motif_102,0.6188132
635,Neuron,Motif_102,0.46752512
636,Notochord,Motif_102,1.0779325
637,Endoderm,Motif_103,0.25852293
638,Epithelial,Motif_103,0.2047708
639,Germ,Motif_103,1.0321691
640,Mesenchyme,Motif_103,-0.4222689
641,Muscle,Motif_103,-0.28110796
642,Neuron,Motif_103,0.29622686
643,Notochord,Motif_103,0.21858564
644,Endoderm,Motif_104,0.7067538
645,Epithelial,Motif_104,-0.49157128
646,Germ,Motif_104,0.34897596
647,Mesenchyme,Motif_104,-0.3504064
648,Muscle,Motif_104,0.42763364
649,Neuron,Motif_104,0.25716484
650,Notochord,Motif_104,0.7172615
651,Endoderm,Motif_105,-0.8989459
652,Epithelial,Motif_105,-0.31303504
653,Germ,Motif_105,-0.5304953
654,Mesenchyme,Motif_105,0.7757864
655,Muscle,Motif_105,-0.5912531
656,Neuron,Motif_105,-0.50561893
657,Notochord,Motif_105,-0.87550586
658,Endoderm,Motif_106,0.40300912
659,Epithelial,Motif_106,0.5930826
660,Germ,Motif_106,0.99375296
661,Mesenchyme,Motif_106,-0.6094741
662,Muscle,Motif_106,-0.108124524
663,Neuron,Motif_106,0.7584029
664,Notochord,Motif_106,0.2749437
665,Endoderm,Motif_107,-0.54810447
666,Epithelial,Motif_107,0.75144297
667,Germ,Motif_107,-1.0297531
668,Mesenchyme,Motif_107,-0.03420976
669,Muscle,Motif_107,-0.020841297
670,Neuron,Motif_107,0.25668284
671,Notochord,Motif_107,0.7275043
672,Endoderm,Motif_108,0.6963099
673,Epithelial,Motif_108,0.81791127
674,Germ,Motif_108,-0.05093376
675,Mesenchyme,Motif_108,-0.8623069
676,Muscle,Motif_108,0.7453981
677,Neuron,Motif_108,0.67928123
678,Notochord,Motif_108,0.98884565
679,Endoderm,Motif_109,-0.49315414
680,Epithelial,Motif_109,-0.40881056
681,Germ,Motif_109,-0.07447056
682,Mesenchyme,Motif_109,0.45118532
683,Muscle,Motif_109,-0.18509199
684,Neuron,Motif_109,-0.459563
685,Notochord,Motif_109,-0.49315414
686,Endoderm,Motif_110,0.23158932
687,Epithelial,Motif_110,-0.62555003
688,Germ,Motif_110,-0.23229186
689,Mesenchyme,Motif_110,0.114208356
690,Muscle,Motif_110,0.17841846
691,Neuron,Motif_110,-0.4636299
692,Notochord,Motif_110,-0.14412487
