,Species,Cluster,Motif,Influe
9841,CIONA,Notochord,"(14, 46)",0.7047495
9843,CIONA,Epithelial,"(14, 47)",1.3967971000000001
9847,CIONA,Neuron,"(14, 47)",0.52117413
9848,CIONA,Notochord,"(14, 47)",1.6273628
9850,CIONA,Epithelial,"(14, 48)",1.7362851000000001
9854,CIONA,Neuron,"(14, 48)",0.96542627
9855,CIONA,Notochord,"(14, 48)",1.3409513000000002
9857,CIONA,Epithelial,"(14, 49)",1.6884514
9861,CIONA,Neuron,"(14, 49)",1.1359351999999998
9862,CIONA,Notochord,"(14, 49)",0.90967077
9871,CIONA,Epithelial,"(14, 51)",1.7482235000000002
9875,CIONA,Neuron,"(14, 51)",0.957169
9876,CIONA,Notochord,"(14, 51)",1.3717344
9878,CIONA,Epithelial,"(14, 52)",1.7612078000000002
9882,CIONA,Neuron,"(14, 52)",1.0122758
9883,CIONA,Notochord,"(14, 52)",1.2961158000000002
9887,CIONA,Mesenchyme,"(14, 53)",0.72703725
9892,CIONA,Epithelial,"(14, 54)",1.6023542
9896,CIONA,Neuron,"(14, 54)",1.1686883999999997
9897,CIONA,Notochord,"(14, 54)",0.78367555
9899,CIONA,Epithelial,"(14, 55)",1.7120175
9903,CIONA,Neuron,"(14, 55)",0.9135105
9904,CIONA,Notochord,"(14, 55)",1.2892879
9915,CIONA,Mesenchyme,"(14, 58)",0.6688706
9919,CIONA,Endoderm,"(14, 59)",0.65895313
9921,CIONA,Germ,"(14, 59)",0.5333689
9928,CIONA,Germ,"(14, 60)",0.59070194
9929,CIONA,Mesenchyme,"(14, 60)",0.6811261
9934,CIONA,Epithelial,"(14, 61)",1.6449417000000002
9938,CIONA,Neuron,"(14, 61)",0.7896246
9939,CIONA,Notochord,"(14, 61)",1.533021
9941,CIONA,Epithelial,"(14, 62)",1.5439731
9945,CIONA,Neuron,"(14, 62)",0.67317426
9946,CIONA,Notochord,"(14, 62)",1.6295022
9948,CIONA,Epithelial,"(14, 63)",0.95845586
9955,CIONA,Epithelial,"(14, 64)",1.3712356
9958,CIONA,Muscle,"(14, 64)",0.5475555999999999
9959,CIONA,Neuron,"(14, 64)",1.1813403
9970,CIONA,Germ,"(14, 66)",0.5374549
9971,CIONA,Mesenchyme,"(14, 66)",0.73539084
9976,CIONA,Epithelial,"(14, 67)",0.7942718000000001
9983,CIONA,Epithelial,"(14, 68)",1.537858
9991,CIONA,Germ,"(14, 70)",0.5392894
9992,CIONA,Mesenchyme,"(14, 70)",0.74875855
9997,CIONA,Epithelial,"(14, 71)",1.3967892
10001,CIONA,Neuron,"(14, 71)",0.5211706
10002,CIONA,Notochord,"(14, 71)",1.6274028
10005,CIONA,Germ,"(14, 72)",0.6298845000000001
10006,CIONA,Mesenchyme,"(14, 72)",0.6784254
10011,CIONA,Epithelial,"(14, 73)",1.2177103
10015,CIONA,Neuron,"(14, 73)",0.81026006
10016,CIONA,Notochord,"(14, 73)",0.97214806
10018,CIONA,Epithelial,"(14, 75)",1.6808531999999998
10022,CIONA,Neuron,"(14, 75)",0.8740189
10023,CIONA,Notochord,"(14, 75)",1.3948618
10026,CIONA,Germ,"(14, 76)",0.58050644
10027,CIONA,Mesenchyme,"(14, 76)",0.79470587
10034,CIONA,Mesenchyme,"(14, 77)",0.8110927
10039,CIONA,Epithelial,"(14, 78)",1.7182928
10043,CIONA,Neuron,"(14, 78)",0.9301703000000001
10044,CIONA,Notochord,"(14, 78)",1.4725226999999999
10046,CIONA,Epithelial,"(14, 81)",1.7319893
10050,CIONA,Neuron,"(14, 81)",0.9443231
10051,CIONA,Notochord,"(14, 81)",1.4399387
10054,CIONA,Germ,"(14, 83)",0.5710928000000001
10055,CIONA,Mesenchyme,"(14, 83)",0.5385800000000001
10061,CIONA,Germ,"(14, 85)",0.70022243
10062,CIONA,Mesenchyme,"(14, 85)",0.64843845
10067,CIONA,Epithelial,"(14, 86)",1.3967892
10071,CIONA,Neuron,"(14, 86)",0.5211706
10072,CIONA,Notochord,"(14, 86)",1.6274028
10083,CIONA,Mesenchyme,"(14, 88)",0.78239226
10088,CIONA,Epithelial,"(14, 89)",1.3968052
10092,CIONA,Neuron,"(14, 89)",0.52118504
10093,CIONA,Notochord,"(14, 89)",1.6273986
10096,CIONA,Germ,"(14, 90)",0.75553
10097,CIONA,Mesenchyme,"(14, 90)",0.68247736
10103,CIONA,Germ,"(14, 91)",0.7158566999999999
10104,CIONA,Mesenchyme,"(14, 91)",0.6807025999999999
10109,CIONA,Epithelial,"(14, 93)",1.2969700000000002
10114,CIONA,Notochord,"(14, 93)",1.7637914000000001
10123,CIONA,Epithelial,"(14, 95)",1.5885684
10127,CIONA,Neuron,"(14, 95)",1.1642998
10128,CIONA,Notochord,"(14, 95)",0.832959
10131,CIONA,Germ,"(14, 96)",0.7468205
10132,CIONA,Mesenchyme,"(14, 96)",0.7254493000000001
10138,CIONA,Germ,"(14, 98)",0.5023044
10139,CIONA,Mesenchyme,"(14, 98)",0.7620193000000001
10144,CIONA,Epithelial,"(14, 99)",1.7360901000000002
10148,CIONA,Neuron,"(14, 99)",1.1219281
10149,CIONA,Notochord,"(14, 99)",0.99249375
10151,CIONA,Epithelial,"(14, 100)",1.2061322
10154,CIONA,Muscle,"(14, 100)",0.6866452
10155,CIONA,Neuron,"(14, 100)",1.1447542
10159,CIONA,Germ,"(14, 101)",0.6010978
10160,CIONA,Mesenchyme,"(14, 101)",0.5924645000000001
10161,CIONA,Muscle,"(14, 101)",0.5325791
10165,CIONA,Epithelial,"(14, 102)",1.1942383
10168,CIONA,Muscle,"(14, 102)",0.56714803
10169,CIONA,Neuron,"(14, 102)",1.1866622
10171,CIONA,Endoderm,"(14, 104)",0.5532524999999999
10175,CIONA,Muscle,"(14, 104)",1.3598552
10179,CIONA,Epithelial,"(14, 105)",1.5992128
10183,CIONA,Neuron,"(14, 105)",0.87917316
10184,CIONA,Notochord,"(14, 105)",1.5832963
10193,CIONA,Epithelial,"(14, 107)",1.396808
10197,CIONA,Neuron,"(14, 107)",0.52117544
10198,CIONA,Notochord,"(14, 107)",1.6274129
10200,CIONA,Epithelial,"(14, 108)",1.6147591000000001
10204,CIONA,Neuron,"(14, 108)",1.1690334
10205,CIONA,Notochord,"(14, 108)",0.8154566
10208,CIONA,Germ,"(14, 109)",0.52425826
10209,CIONA,Mesenchyme,"(14, 109)",0.6540816999999999
10214,CIONA,Epithelial,"(14, 110)",1.2583306
10219,CIONA,Notochord,"(14, 110)",1.686909
10222,CIONA,Germ,"(14, 111)",0.60135543
10223,CIONA,Mesenchyme,"(14, 111)",0.7785046999999999
10228,CIONA,Epithelial,"(14, 112)",1.5883561000000002
10232,CIONA,Neuron,"(14, 112)",0.8708411
10233,CIONA,Notochord,"(14, 112)",1.5899901
10236,CIONA,Germ,"(14, 113)",0.6119708
10237,CIONA,Mesenchyme,"(14, 113)",0.7095568
10242,CIONA,Epithelial,"(14, 114)",0.57085603
10249,CIONA,Epithelial,"(14, 115)",1.396792
10253,CIONA,Neuron,"(14, 115)",0.52118284
10254,CIONA,Notochord,"(14, 115)",1.6274598
10256,CIONA,Epithelial,"(14, 116)",1.7146564999999998
10260,CIONA,Neuron,"(14, 116)",0.9584375
10261,CIONA,Notochord,"(14, 116)",1.3630707
10262,CIONA,Endoderm,"(14, 117)",0.7370585999999999
10264,CIONA,Germ,"(14, 117)",0.67640454
10266,CIONA,Muscle,"(14, 117)",0.8233529
10270,CIONA,Epithelial,"(14, 118)",1.3967916999999999
10274,CIONA,Neuron,"(14, 118)",0.5211736
10275,CIONA,Notochord,"(14, 118)",1.6273971
10277,CIONA,Epithelial,"(14, 119)",1.709009
10281,CIONA,Neuron,"(14, 119)",0.9190961999999999
10282,CIONA,Notochord,"(14, 119)",1.362307
10284,CIONA,Epithelial,"(14, 120)",1.7552733
10288,CIONA,Neuron,"(14, 120)",1.0061499
10289,CIONA,Notochord,"(14, 120)",1.3282907
10291,CIONA,Epithelial,"(14, 122)",1.7114384999999999
10295,CIONA,Neuron,"(14, 122)",1.1411262
10296,CIONA,Notochord,"(14, 122)",0.9448576999999999
10297,CIONA,Endoderm,"(14, 123)",0.759325
10299,CIONA,Germ,"(14, 123)",0.65029645
10301,CIONA,Muscle,"(14, 123)",1.4540031999999998
10307,CIONA,Mesenchyme,"(14, 124)",0.6622658
10314,CIONA,Mesenchyme,"(14, 125)",0.67730826
10319,CIONA,Epithelial,"(14, 126)",1.2784200000000001
10326,CIONA,Epithelial,"(14, 127)",1.284266
10330,CIONA,Neuron,"(14, 127)",1.1868678
10335,CIONA,Mesenchyme,"(15, 16)",0.78326565
10342,CIONA,Mesenchyme,"(15, 31)",0.72877485
10348,CIONA,Germ,"(15, 41)",0.50584215
10349,CIONA,Mesenchyme,"(15, 41)",0.6666161
10354,CIONA,Epithelial,"(15, 51)",1.7438769
10358,CIONA,Neuron,"(15, 51)",0.93062484
10359,CIONA,Notochord,"(15, 51)",1.3726572
10361,CIONA,Epithelial,"(15, 52)",0.5397451
10370,CIONA,Mesenchyme,"(15, 60)",0.69479156
10384,CIONA,Mesenchyme,"(15, 72)",0.7274225999999999
10398,CIONA,Mesenchyme,"(15, 109)",0.7478034
10403,CIONA,Epithelial,"(15, 112)",1.67462
10407,CIONA,Neuron,"(15, 112)",0.7796579
10408,CIONA,Notochord,"(15, 112)",1.6313611000000001
10411,CIONA,Germ,"(16, 17)",0.53149223
10412,CIONA,Mesenchyme,"(16, 17)",0.70205384
10418,CIONA,Germ,"(16, 18)",0.5090037000000001
10419,CIONA,Mesenchyme,"(16, 18)",0.74079114
10426,CIONA,Mesenchyme,"(16, 19)",0.786813
10433,CIONA,Mesenchyme,"(16, 20)",0.8141971
10440,CIONA,Mesenchyme,"(16, 21)",0.7371466
10446,CIONA,Germ,"(16, 22)",0.5289302
10447,CIONA,Mesenchyme,"(16, 22)",0.7295626000000001
10453,CIONA,Germ,"(16, 23)",0.5060256
10454,CIONA,Mesenchyme,"(16, 23)",0.7447294
10460,CIONA,Germ,"(16, 24)",0.51460284
10461,CIONA,Mesenchyme,"(16, 24)",0.7423243
10468,CIONA,Mesenchyme,"(16, 25)",0.80002105
10474,CIONA,Germ,"(16, 26)",0.5267407
10475,CIONA,Mesenchyme,"(16, 26)",0.72648317
10481,CIONA,Germ,"(16, 27)",0.5856313
10482,CIONA,Mesenchyme,"(16, 27)",0.66453034
10488,CIONA,Germ,"(16, 28)",0.50602454
10489,CIONA,Mesenchyme,"(16, 28)",0.74472994
10495,CIONA,Germ,"(16, 29)",0.5014904
10496,CIONA,Mesenchyme,"(16, 29)",0.7673025
10502,CIONA,Germ,"(16, 30)",0.5007562
10503,CIONA,Mesenchyme,"(16, 30)",0.7556964
10509,CIONA,Germ,"(16, 31)",0.53039634
10510,CIONA,Mesenchyme,"(16, 31)",0.72048694
10516,CIONA,Germ,"(16, 32)",0.5060256
10517,CIONA,Mesenchyme,"(16, 32)",0.7447294
10523,CIONA,Germ,"(16, 33)",0.5060245
10524,CIONA,Mesenchyme,"(16, 33)",0.7447294
10530,CIONA,Germ,"(16, 34)",0.5096056999999999
10531,CIONA,Mesenchyme,"(16, 34)",0.7534204999999999
10537,CIONA,Germ,"(16, 35)",0.65232235
10538,CIONA,Mesenchyme,"(16, 35)",0.60745865
10544,CIONA,Germ,"(16, 36)",0.5182335
10545,CIONA,Mesenchyme,"(16, 36)",0.7403166999999999
10551,CIONA,Germ,"(16, 37)",0.50624233
10552,CIONA,Mesenchyme,"(16, 37)",0.74499714
10558,CIONA,Germ,"(16, 38)",0.50662696
10559,CIONA,Mesenchyme,"(16, 38)",0.7442611
10565,CIONA,Germ,"(16, 39)",0.5386979000000001
10566,CIONA,Mesenchyme,"(16, 39)",0.7263858
10572,CIONA,Germ,"(16, 40)",0.512159
10573,CIONA,Mesenchyme,"(16, 40)",0.7394535
10579,CIONA,Germ,"(16, 41)",0.57455707
10580,CIONA,Mesenchyme,"(16, 41)",0.6859598000000001
10586,CIONA,Germ,"(16, 42)",0.50796145
10587,CIONA,Mesenchyme,"(16, 42)",0.764505
10594,CIONA,Mesenchyme,"(16, 43)",0.72766256
10601,CIONA,Mesenchyme,"(16, 44)",0.7533728
10607,CIONA,Germ,"(16, 45)",0.50037134
10608,CIONA,Mesenchyme,"(16, 45)",0.7317435999999999
10614,CIONA,Germ,"(16, 46)",0.57076836
10615,CIONA,Mesenchyme,"(16, 46)",0.6955631999999999
10621,CIONA,Germ,"(16, 47)",0.5060259
10622,CIONA,Mesenchyme,"(16, 47)",0.7447295
10628,CIONA,Germ,"(16, 48)",0.50462496
10629,CIONA,Mesenchyme,"(16, 48)",0.7861189000000001
10635,CIONA,Germ,"(16, 49)",0.5925402
10636,CIONA,Mesenchyme,"(16, 49)",0.6901971
10643,CIONA,Mesenchyme,"(16, 50)",0.79202026
10648,CIONA,Epithelial,"(16, 51)",0.96302587
10653,CIONA,Notochord,"(16, 51)",1.9276416
10656,CIONA,Germ,"(16, 52)",0.54684967
10657,CIONA,Mesenchyme,"(16, 52)",0.77194387
10663,CIONA,Germ,"(16, 53)",0.5109007999999999
10664,CIONA,Mesenchyme,"(16, 53)",0.7331675999999999
10670,CIONA,Germ,"(16, 54)",0.6663464
10671,CIONA,Mesenchyme,"(16, 54)",0.61948204
10678,CIONA,Mesenchyme,"(16, 55)",0.76450014
10685,CIONA,Mesenchyme,"(16, 56)",0.85352075
10691,CIONA,Germ,"(16, 57)",0.7249669
10692,CIONA,Mesenchyme,"(16, 57)",0.5858504
10698,CIONA,Germ,"(16, 58)",0.5008977
10699,CIONA,Mesenchyme,"(16, 58)",0.74612325
10705,CIONA,Germ,"(16, 59)",0.5066189999999999
10706,CIONA,Mesenchyme,"(16, 59)",0.72399074
10712,CIONA,Germ,"(16, 60)",0.54000854
10713,CIONA,Mesenchyme,"(16, 60)",0.7073388
10719,CIONA,Germ,"(16, 61)",0.503074
10720,CIONA,Mesenchyme,"(16, 61)",0.7470911
10726,CIONA,Germ,"(16, 62)",0.5071784
10727,CIONA,Mesenchyme,"(16, 62)",0.74612784
10731,CIONA,Endoderm,"(16, 63)",0.89244837
10733,CIONA,Germ,"(16, 63)",1.1649833
10735,CIONA,Muscle,"(16, 63)",0.9149792
10740,CIONA,Germ,"(16, 64)",0.80563045
10741,CIONA,Mesenchyme,"(16, 64)",0.5203093
10742,CIONA,Muscle,"(16, 64)",0.60647154
10747,CIONA,Germ,"(16, 65)",0.64389896
10748,CIONA,Mesenchyme,"(16, 65)",0.6470391
10754,CIONA,Germ,"(16, 66)",0.5115604
10755,CIONA,Mesenchyme,"(16, 66)",0.7336234
10759,CIONA,Endoderm,"(16, 67)",0.8369030999999999
10761,CIONA,Germ,"(16, 67)",1.0974891000000002
10763,CIONA,Muscle,"(16, 67)",0.83436656
10768,CIONA,Germ,"(16, 68)",0.6383179
10769,CIONA,Mesenchyme,"(16, 68)",0.63607913
10775,CIONA,Germ,"(16, 69)",0.56095684
10776,CIONA,Mesenchyme,"(16, 69)",0.68794066
10783,CIONA,Mesenchyme,"(16, 70)",0.7498625
10789,CIONA,Germ,"(16, 71)",0.5060256
10790,CIONA,Mesenchyme,"(16, 71)",0.7447294
10796,CIONA,Germ,"(16, 72)",0.62007445
10797,CIONA,Mesenchyme,"(16, 72)",0.67156404
10803,CIONA,Germ,"(16, 73)",0.5046712999999999
10804,CIONA,Mesenchyme,"(16, 73)",0.7407606
10811,CIONA,Mesenchyme,"(16, 74)",0.74229884
10818,CIONA,Mesenchyme,"(16, 75)",0.7666008000000001
10824,CIONA,Germ,"(16, 76)",0.5013373999999999
10825,CIONA,Mesenchyme,"(16, 76)",0.7486520999999999
10832,CIONA,Mesenchyme,"(16, 77)",0.7533745
10838,CIONA,Germ,"(16, 78)",0.5233073
10839,CIONA,Mesenchyme,"(16, 78)",0.77184343
10845,CIONA,Germ,"(16, 80)",0.58039737
10846,CIONA,Mesenchyme,"(16, 80)",0.6914315
10852,CIONA,Germ,"(16, 81)",0.5121495
10853,CIONA,Mesenchyme,"(16, 81)",0.7480876000000001
10859,CIONA,Germ,"(16, 82)",0.5827519
10860,CIONA,Mesenchyme,"(16, 82)",0.68130136
10866,CIONA,Germ,"(16, 83)",0.5316395
10867,CIONA,Mesenchyme,"(16, 83)",0.7155106999999999
10873,CIONA,Germ,"(16, 85)",0.5105357
10874,CIONA,Mesenchyme,"(16, 85)",0.7376693
10880,CIONA,Germ,"(16, 86)",0.5060256
10881,CIONA,Mesenchyme,"(16, 86)",0.7447294
10887,CIONA,Germ,"(16, 87)",0.5015953
10888,CIONA,Mesenchyme,"(16, 87)",0.74305314
10895,CIONA,Mesenchyme,"(16, 88)",0.7621
10901,CIONA,Germ,"(16, 89)",0.50602496
10902,CIONA,Mesenchyme,"(16, 89)",0.74472964
10908,CIONA,Germ,"(16, 90)",0.5249822
10909,CIONA,Mesenchyme,"(16, 90)",0.7344703
10915,CIONA,Germ,"(16, 91)",0.51547533
10916,CIONA,Mesenchyme,"(16, 91)",0.7433607
10930,CIONA,Mesenchyme,"(16, 93)",0.76212204
10940,CIONA,Notochord,"(16, 94)",0.74094284
10943,CIONA,Germ,"(16, 95)",0.6308771
10944,CIONA,Mesenchyme,"(16, 95)",0.6552528000000001
10950,CIONA,Germ,"(16, 96)",0.52209187
10951,CIONA,Mesenchyme,"(16, 96)",0.74104095
10957,CIONA,Germ,"(16, 98)",0.5074189
10958,CIONA,Mesenchyme,"(16, 98)",0.7393006
10964,CIONA,Germ,"(16, 99)",0.592645
10965,CIONA,Mesenchyme,"(16, 99)",0.70460695
10971,CIONA,Germ,"(16, 100)",0.63967276
10972,CIONA,Mesenchyme,"(16, 100)",0.6309274
10978,CIONA,Germ,"(16, 101)",0.5181034999999999
10979,CIONA,Mesenchyme,"(16, 101)",0.7212859
10985,CIONA,Germ,"(16, 102)",0.58410627
10986,CIONA,Mesenchyme,"(16, 102)",0.6806679
10992,CIONA,Germ,"(16, 103)",0.56979895
10993,CIONA,Mesenchyme,"(16, 103)",0.7043923000000001
10999,CIONA,Germ,"(16, 104)",0.56599367
11000,CIONA,Mesenchyme,"(16, 104)",0.64892596
11006,CIONA,Germ,"(16, 105)",0.54598916
11007,CIONA,Mesenchyme,"(16, 105)",0.7456703
11013,CIONA,Germ,"(16, 106)",0.6862285
11014,CIONA,Mesenchyme,"(16, 106)",0.59188926
11020,CIONA,Germ,"(16, 107)",0.50602525
11021,CIONA,Mesenchyme,"(16, 107)",0.7447294
11027,CIONA,Germ,"(16, 108)",0.7554635999999999
11028,CIONA,Mesenchyme,"(16, 108)",0.5640222
11034,CIONA,Germ,"(16, 109)",0.58813
11035,CIONA,Mesenchyme,"(16, 109)",0.6729983
11041,CIONA,Germ,"(16, 110)",0.5068375
11042,CIONA,Mesenchyme,"(16, 110)",0.744276
11048,CIONA,Germ,"(16, 111)",0.50662637
11049,CIONA,Mesenchyme,"(16, 111)",0.7465928000000001
11055,CIONA,Germ,"(16, 112)",0.53760064
11056,CIONA,Mesenchyme,"(16, 112)",0.742885
11062,CIONA,Germ,"(16, 113)",0.5211458
11063,CIONA,Mesenchyme,"(16, 113)",0.73318535
11070,CIONA,Mesenchyme,"(16, 114)",0.8569626
11076,CIONA,Germ,"(16, 115)",0.5060258
11077,CIONA,Mesenchyme,"(16, 115)",0.7447292
11083,CIONA,Germ,"(16, 116)",0.5071269
11084,CIONA,Mesenchyme,"(16, 116)",0.7695605
11090,CIONA,Germ,"(16, 117)",0.5198116
11091,CIONA,Mesenchyme,"(16, 117)",0.716414
11097,CIONA,Germ,"(16, 118)",0.5060254
11098,CIONA,Mesenchyme,"(16, 118)",0.7447294
11104,CIONA,Germ,"(16, 119)",0.50249183
11105,CIONA,Mesenchyme,"(16, 119)",0.7480239000000001
11111,CIONA,Germ,"(16, 120)",0.50102246
11112,CIONA,Mesenchyme,"(16, 120)",0.7696264
11119,CIONA,Mesenchyme,"(16, 121)",0.7548427
11125,CIONA,Germ,"(16, 122)",0.79413074
11126,CIONA,Mesenchyme,"(16, 122)",0.5549286
11132,CIONA,Germ,"(16, 123)",0.63386697
11133,CIONA,Mesenchyme,"(16, 123)",0.6226403
11140,CIONA,Mesenchyme,"(16, 124)",0.7443414
11147,CIONA,Mesenchyme,"(16, 125)",0.7526816999999999
11153,CIONA,Germ,"(16, 126)",0.67559195
11154,CIONA,Mesenchyme,"(16, 126)",0.6001797
11160,CIONA,Germ,"(16, 127)",0.5333601
11161,CIONA,Mesenchyme,"(16, 127)",0.72172993
11168,CIONA,Mesenchyme,"(17, 21)",0.5929641999999999
11169,CIONA,Muscle,"(17, 21)",0.57619786
11174,CIONA,Germ,"(17, 24)",0.61389613
11175,CIONA,Mesenchyme,"(17, 24)",0.5139004
11176,CIONA,Muscle,"(17, 24)",0.64721566
11181,CIONA,Germ,"(17, 31)",0.5387813
11182,CIONA,Mesenchyme,"(17, 31)",0.67792344
11188,CIONA,Germ,"(17, 36)",0.6183504
11190,CIONA,Muscle,"(17, 36)",0.78719276
11193,CIONA,Endoderm,"(17, 39)",0.6948689
11197,CIONA,Muscle,"(17, 39)",1.2651967
11202,CIONA,Germ,"(17, 41)",0.60069555
11203,CIONA,Mesenchyme,"(17, 41)",0.5858609
11204,CIONA,Muscle,"(17, 41)",0.5224850999999999
11209,CIONA,Germ,"(17, 45)",0.5613371
11210,CIONA,Mesenchyme,"(17, 45)",0.63186204
11215,CIONA,Epithelial,"(17, 48)",1.7201871
11219,CIONA,Neuron,"(17, 48)",1.1039256000000002
11220,CIONA,Notochord,"(17, 48)",1.1324014999999998
11229,CIONA,Epithelial,"(17, 51)",1.748804
11233,CIONA,Neuron,"(17, 51)",0.9790960999999999
11234,CIONA,Notochord,"(17, 51)",1.3537161
11236,CIONA,Epithelial,"(17, 52)",1.7604482
11240,CIONA,Neuron,"(17, 52)",1.1010866000000001
11241,CIONA,Notochord,"(17, 52)",1.1738110000000002
11244,CIONA,Germ,"(17, 53)",0.5520775
11245,CIONA,Mesenchyme,"(17, 53)",0.6024133
11258,CIONA,Germ,"(17, 60)",0.5851911
11259,CIONA,Mesenchyme,"(17, 60)",0.61888033
11263,CIONA,Endoderm,"(17, 64)",0.5806715
11264,CIONA,Epithelial,"(17, 64)",0.52994573
11267,CIONA,Muscle,"(17, 64)",1.2374813999999998
11268,CIONA,Neuron,"(17, 64)",0.9247635000000001
11272,CIONA,Germ,"(17, 66)",0.5601998
11273,CIONA,Mesenchyme,"(17, 66)",0.671396
11279,CIONA,Germ,"(17, 70)",0.579327
11280,CIONA,Mesenchyme,"(17, 70)",0.72636026
11286,CIONA,Germ,"(17, 72)",0.6102145
11287,CIONA,Mesenchyme,"(17, 72)",0.64344573
11295,CIONA,Muscle,"(17, 75)",1.5380895
11306,CIONA,Epithelial,"(17, 78)",1.6129904
11310,CIONA,Neuron,"(17, 78)",1.0695275
11311,CIONA,Notochord,"(17, 78)",1.3244433
11314,CIONA,Germ,"(17, 83)",0.5887687
11315,CIONA,Mesenchyme,"(17, 83)",0.5028318
11316,CIONA,Muscle,"(17, 83)",0.59230834
11330,CIONA,Muscle,"(17, 87)",0.9702198000000001
11342,CIONA,Germ,"(17, 90)",0.6320150999999999
11344,CIONA,Muscle,"(17, 90)",0.76769316
11358,CIONA,Muscle,"(17, 93)",0.93720245
11365,CIONA,Muscle,"(17, 96)",0.6991911999999999
11370,CIONA,Germ,"(17, 98)",0.55915856
11371,CIONA,Mesenchyme,"(17, 98)",0.6319399
11375,CIONA,Endoderm,"(17, 100)",0.5504671
11379,CIONA,Muscle,"(17, 100)",1.5559471
11393,CIONA,Muscle,"(17, 102)",1.1755288000000002
11400,CIONA,Muscle,"(17, 104)",1.0748771000000001
11405,CIONA,Germ,"(17, 105)",0.696729
11407,CIONA,Muscle,"(17, 105)",1.0434297
11419,CIONA,Germ,"(17, 109)",0.5399522
11420,CIONA,Mesenchyme,"(17, 109)",0.6350379
11426,CIONA,Germ,"(17, 112)",0.54553133
11428,CIONA,Muscle,"(17, 112)",0.9717041
11433,CIONA,Germ,"(17, 113)",0.61141306
11434,CIONA,Mesenchyme,"(17, 113)",0.5994074
11439,CIONA,Epithelial,"(17, 116)",1.1767896
11442,CIONA,Muscle,"(17, 116)",0.88756305
11443,CIONA,Neuron,"(17, 116)",1.0887346000000002
11444,CIONA,Notochord,"(17, 116)",0.543334
11446,CIONA,Epithelial,"(17, 120)",1.7495793999999998
11450,CIONA,Neuron,"(17, 120)",1.1257458999999999
11451,CIONA,Notochord,"(17, 120)",1.1851993
11461,CIONA,Germ,"(17, 123)",0.5598738
11463,CIONA,Muscle,"(17, 123)",1.4975964
11469,CIONA,Mesenchyme,"(17, 125)",0.69934106
11483,CIONA,Mesenchyme,"(18, 21)",0.6859908
11489,CIONA,Germ,"(18, 24)",0.6035938
11490,CIONA,Mesenchyme,"(18, 24)",0.7213472
11501,CIONA,Endoderm,"(18, 26)",0.8643228000000001
11503,CIONA,Germ,"(18, 26)",0.6092618000000001
11505,CIONA,Muscle,"(18, 26)",1.1347307
11509,CIONA,Epithelial,"(18, 29)",1.692867
11514,CIONA,Notochord,"(18, 29)",1.5346197
11516,CIONA,Epithelial,"(18, 30)",1.7261145
11520,CIONA,Neuron,"(18, 30)",0.975463
11521,CIONA,Notochord,"(18, 30)",1.2529083
11524,CIONA,Germ,"(18, 31)",0.5316569999999999
11525,CIONA,Mesenchyme,"(18, 31)",0.70452505
11530,CIONA,Epithelial,"(18, 34)",1.7653203000000002
11534,CIONA,Neuron,"(18, 34)",1.0557961
11535,CIONA,Notochord,"(18, 34)",1.2044276000000003
11538,CIONA,Germ,"(18, 36)",0.6281626
11539,CIONA,Mesenchyme,"(18, 36)",0.67963034
11552,CIONA,Germ,"(18, 38)",0.7865468000000001
11558,CIONA,Epithelial,"(18, 39)",1.687423
11562,CIONA,Neuron,"(18, 39)",1.094934
11563,CIONA,Notochord,"(18, 39)",1.4013672
11573,CIONA,Germ,"(18, 41)",0.6045786
11574,CIONA,Mesenchyme,"(18, 41)",0.6346484
11579,CIONA,Epithelial,"(18, 42)",1.7581571
11583,CIONA,Neuron,"(18, 42)",0.7056434
11584,CIONA,Notochord,"(18, 42)",1.2967535
11587,CIONA,Germ,"(18, 45)",0.5201328
11588,CIONA,Mesenchyme,"(18, 45)",0.7061948
11593,CIONA,Epithelial,"(18, 46)",1.2980232
11597,CIONA,Neuron,"(18, 46)",1.0733743999999998
11600,CIONA,Epithelial,"(18, 48)",1.7358200000000001
11604,CIONA,Neuron,"(18, 48)",0.98225224
11605,CIONA,Notochord,"(18, 48)",1.3266475
11607,CIONA,Epithelial,"(18, 49)",1.7107223999999999
11611,CIONA,Neuron,"(18, 49)",1.0828714
11612,CIONA,Notochord,"(18, 49)",0.72479075
11621,CIONA,Epithelial,"(18, 51)",1.7442386000000003
11625,CIONA,Neuron,"(18, 51)",0.9570088999999999
11626,CIONA,Notochord,"(18, 51)",1.3683174999999999
11628,CIONA,Epithelial,"(18, 52)",1.7594188000000002
11632,CIONA,Neuron,"(18, 52)",1.0239902
11633,CIONA,Notochord,"(18, 52)",1.2819264
11636,CIONA,Germ,"(18, 53)",0.50722015
11637,CIONA,Mesenchyme,"(18, 53)",0.7111681
11642,CIONA,Epithelial,"(18, 54)",1.5936329
11646,CIONA,Neuron,"(18, 54)",1.1701101999999999
11647,CIONA,Notochord,"(18, 54)",0.6699369000000001
11649,CIONA,Epithelial,"(18, 55)",1.7149738
11653,CIONA,Neuron,"(18, 55)",0.9634419
11654,CIONA,Notochord,"(18, 55)",1.2138742
11657,CIONA,Germ,"(18, 58)",0.51784104
11658,CIONA,Mesenchyme,"(18, 58)",0.6814663000000001
11664,CIONA,Germ,"(18, 60)",0.57615465
11665,CIONA,Mesenchyme,"(18, 60)",0.67647797
