,Cluster,Motif,Influe
473,Germ,Motif_117,-0.35165077
474,Muscle,Motif_117,1.1593456
475,Neuron,Motif_117,-0.5223737
476,Coelomocytes,Motif_118,0.004392213
477,DigestiveGland,Motif_118,-1.7909184
478,Epithelial,Motif_118,-0.37412035
479,Erythrocruorin,Motif_118,-1.7881762
480,Germ,Motif_118,0.21005632
481,Muscle,Motif_118,0.97460324
482,Neuron,Motif_118,-0.87747043
483,Coelomocytes,Motif_119,0.4644735
484,DigestiveGland,Motif_119,1.340389
485,Epithelial,Motif_119,-0.062297016
486,Erythrocruorin,Motif_119,-1.0733212
487,Germ,Motif_119,0.16066223
488,Muscle,Motif_119,-1.2802855
489,Neuron,Motif_119,0.063902244
490,Coelomocytes,Motif_120,-0.50453216
491,DigestiveGland,Motif_120,-0.7277811
492,Epithelial,Motif_120,-0.4380505
493,Erythrocruorin,Motif_120,-0.7277811
494,Germ,Motif_120,-0.04855461
495,Muscle,Motif_120,1.1567961
496,Neuron,Motif_120,-0.6423383
497,Coelomocytes,Motif_122,-0.0013288475
498,DigestiveGland,Motif_122,-1.76667
499,Epithelial,Motif_122,-0.3790524
500,Erythrocruorin,Motif_122,-1.7651926
501,Germ,Motif_122,0.2175841
502,Muscle,Motif_122,0.97668755
503,Neuron,Motif_122,-0.9187081
504,Coelomocytes,Motif_124,-0.051260166
505,DigestiveGland,Motif_124,1.9991688
506,Epithelial,Motif_124,0.07060452
507,Erythrocruorin,Motif_124,1.2785772
508,Germ,Motif_124,-0.27423784
509,Muscle,Motif_124,-0.91454864
510,Neuron,Motif_124,0.4533858
511,Coelomocytes,Motif_125,-0.48620883
512,DigestiveGland,Motif_125,-0.5832295
513,Epithelial,Motif_125,-0.40687165
514,Erythrocruorin,Motif_125,-0.5832295
515,Germ,Motif_125,-0.40408838
516,Muscle,Motif_125,1.2081351
517,Neuron,Motif_125,-0.5061284
518,Coelomocytes,Motif_126,-0.42607754
519,DigestiveGland,Motif_126,-0.42766556
520,Epithelial,Motif_126,-0.37227264
521,Erythrocruorin,Motif_126,-0.42766556
522,Germ,Motif_126,-0.4274973
523,Muscle,Motif_126,0.9266667
524,Neuron,Motif_126,-0.40618005
525,Coelomocytes,Motif_127,-0.24069089
526,DigestiveGland,Motif_127,1.5798298
527,Epithelial,Motif_127,0.34691265
528,Erythrocruorin,Motif_127,1.9386461
529,Germ,Motif_127,-0.425122
530,Muscle,Motif_127,-0.5045558
531,Neuron,Motif_127,0.9761271
