,Cluster,Motif,Influe
348,Rectum,Motif_59,0.38638103
349,Seam,Motif_59,0.12490144
350,Coelomocytes,Motif_60,0.5379499
351,Germ,Motif_60,0.1969932
352,Intestine,Motif_60,-0.1374807
353,Muscle,Motif_60,-0.13537057
354,Neuron,Motif_60,-0.14262308
355,Non-seam,Motif_60,0.8996088
356,Pharyn,Motif_60,0.68043596
357,Precursors,Motif_60,-0.041346278
358,Rectum,Motif_60,0.35924542
359,Seam,Motif_60,0.047231
360,Coelomocytes,Motif_63,-0.42271173
361,Germ,Motif_63,-0.11758523
362,Intestine,Motif_63,-0.083481856
363,Muscle,Motif_63,0.14826073
364,Neuron,Motif_63,0.35851806
365,Non-seam,Motif_63,-0.80511075
366,Pharyn,Motif_63,-0.5407271
367,Precursors,Motif_63,-0.40106952
368,Rectum,Motif_63,-0.29201213
369,Seam,Motif_63,-0.20853794
370,Coelomocytes,Motif_64,0.046182133
371,Germ,Motif_64,0.14924689
372,Intestine,Motif_64,-0.22533979
373,Muscle,Motif_64,-0.37355736
374,Neuron,Motif_64,-0.14616333
375,Non-seam,Motif_64,0.4827298
376,Pharyn,Motif_64,0.8546137
377,Precursors,Motif_64,0.9725507
378,Rectum,Motif_64,0.9734791
379,Seam,Motif_64,0.66001654
380,Coelomocytes,Motif_66,-0.064470924
381,Germ,Motif_66,0.56622607
382,Intestine,Motif_66,1.1553212
383,Muscle,Motif_66,0.28776053
384,Neuron,Motif_66,-0.5050873
385,Non-seam,Motif_66,-1.1657171
386,Pharyn,Motif_66,-1.1778667
387,Precursors,Motif_66,-0.3760138
388,Rectum,Motif_66,-0.93015295
389,Seam,Motif_66,-0.1319312
390,Coelomocytes,Motif_68,-0.35796794
391,Germ,Motif_68,0.110116065
392,Intestine,Motif_68,0.3614782
393,Muscle,Motif_68,-0.05089667
394,Neuron,Motif_68,0.1929856
395,Non-seam,Motif_68,-1.0850532
396,Pharyn,Motif_68,-0.17995004
397,Precursors,Motif_68,0.6799445
398,Rectum,Motif_68,0.5205515
399,Seam,Motif_68,0.4928025
400,Coelomocytes,Motif_70,-0.54610807
401,Germ,Motif_70,0.12167251
402,Intestine,Motif_70,0.44702736
403,Muscle,Motif_70,0.20817938
404,Neuron,Motif_70,-0.9117544
405,Non-seam,Motif_70,-0.22558111
406,Pharyn,Motif_70,-0.55631137
407,Precursors,Motif_70,0.16189848
408,Rectum,Motif_70,-0.66535264
409,Seam,Motif_70,0.30283883
410,Coelomocytes,Motif_71,-0.28952232
411,Germ,Motif_71,-0.04065568
412,Intestine,Motif_71,-0.0027091661
413,Muscle,Motif_71,0.080199026
414,Neuron,Motif_71,0.60564965
415,Non-seam,Motif_71,-1.1627512
416,Pharyn,Motif_71,-0.33249938
417,Precursors,Motif_71,0.22468036
418,Rectum,Motif_71,0.29992858
419,Seam,Motif_71,-0.069488846
420,Coelomocytes,Motif_73,-0.19785954
421,Germ,Motif_73,0.05809154
422,Intestine,Motif_73,0.03461362
423,Muscle,Motif_73,-0.18107556
424,Neuron,Motif_73,-0.8815079
425,Non-seam,Motif_73,0.7207588
426,Pharyn,Motif_73,0.28921813
427,Precursors,Motif_73,0.80750996
428,Rectum,Motif_73,0.09999018
429,Seam,Motif_73,0.709786
430,Coelomocytes,Motif_74,-0.45643368
431,Germ,Motif_74,-0.4586844
432,Intestine,Motif_74,-0.4586844
433,Muscle,Motif_74,0.13914344
434,Neuron,Motif_74,0.94532686
435,Non-seam,Motif_74,-0.4567454
436,Pharyn,Motif_74,-0.44325498
437,Precursors,Motif_74,-0.45810145
438,Rectum,Motif_74,-0.42895824
439,Seam,Motif_74,-0.45006734
440,Coelomocytes,Motif_75,-0.25462553
441,Germ,Motif_75,0.22868662
442,Intestine,Motif_75,0.63979304
443,Muscle,Motif_75,0.3436604
444,Neuron,Motif_75,-0.11756499
